source	target	count
237509772	249527815	1
42582412	9688342	1
32977440	17770224	1
376318099	154954436	1
264491893	516057887	1
1429395871	32776312	1
81540373	84244654	1
252733169	60217362	1
60880624	21165375	1
333524397	1305995330	1
496477942	43233787	1
1366881974	835736959	1
297569691	123412768	1
251219339	139531420	1
254191103	10211472	1
101122221	237899139	1
72905224	15086405	1
251678886	243840895	1
433131574	403031768	1
14798198	9688342	1
564092326	36202998	1
1336384574	1446309715	1
1508467128	149655776	1
18340428	275686563	1
135340103	254560715	1
554382471	220119895	1
145042035	24396765	1
319235258	559060945	1
69061625	12047992	1
65642345	107775833	1
176969287	264890014	1
638643	49093	1
488863431	127005383	1
18579266	14627653	1
354676353	343182042	1
1421993539	355672848	1
17132328	10669542	1
14781066	80310122	1
17721280	127978917	1
398983732	55020323	1
107592354	14410190	1
98239630	371606193	1
176572556	429593330	1
969293293	257906918	1
252295101	453571667	1
1416803534	182048795	1
516915005	522526329	1
89469736	348429830	1
1089499400	1320284917	1
459624439	1177040466	1
14667738	16655768	1
32913083	14876507	1
720605928	458465192	1
68487708	573289798	1
531568649	811548878	1
463423792	535942415	1
387799084	952662644	1
272257855	481610048	1
111466983	131248988	1
68676157	1339112371	1
160633062	257268221	1
92798046	1501471	1
347623939	2890961	1
632085441	229587158	1
332074000	374315687	1
14120889	5402662	1
722394841	14231571	1
602252016	75549485	1
83906713	18460479	1
338578256	146722328	1
146284284	95330107	1
585372660	213560438	1
1458390199	406594353	1
1246567237	1327954742	1
499385469	1408993730	1
25897497	39261917	1
23313324	784912	1
1149920868	1143094903	1
107510118	138636228	1
20900031	275686563	1
160876993	5676102	1
38925886	46926072	1
50669128	220771526	1
208450315	6898792	1
92249496	134758540	1
147064890	231233578	1
17085074	755859	1
1053628836	774036392	1
92369660	9688342	1
581586486	18515955	1
1457189905	516881795	1
636034794	33325270	1
631623949	249527815	7
1336384574	816653	2
480791194	729861540	1
97304046	167840522	1
332966980	296961404	1
261966619	258554444	1
235793486	239607577	1
130627040	5944742	1
332397661	83271185	1
1457249173	516881795	1
104571158	98465645	1
19805340	17507517	1
24615908	850929068	1
219715267	4216361	1
440295809	1362300697	1
451751826	762010382	1
313007406	447538839	1
241935195	107775833	1
157422785	254397950	1
202684840	77092483	1
471914594	17426572	1
595442253	299097118	1
5760092	5907872	1
221165194	522526329	1
279926477	18460479	1
105523251	15947185	1
168241061	163001547	1
386253865	399409132	1
221813000	192838485	1
606700618	477264496	1
633130388	16546619	1
768599299	275686563	1
423913962	63677190	1
492048516	279482084	1
297656683	615613594	1
363050044	146613758	1
415805183	142075330	1
621064349	247595800	1
1041657252	732033643	1
14758716	115773069	1
103478322	25195917	1
1402291650	635843192	1
13985522	10876852	1
888666415	127978917	1
241316444	23978155	1
276530362	14522520	1
53308885	301026603	1
60762583	1027621284	2
65125885	540488894	1
521167485	240337795	1
1099548680	1285077703	1
255615901	367385643	1
18105812	275686563	1
984644130	336933705	1
22450594	16193528	1
46705779	1197619002	1
383302188	275686563	1
272094960	398259515	1
221382319	268879259	1
64982497	27326466	1
1017514951	229603459	1
783076340	231077082	1
635127449	537660375	1
240969182	598656919	1
75001653	189687557	1
1159186934	637378593	1
304057339	323313200	1
949851823	1094988565	1
