"","source","target","value"
"18087",955,23805,1
"14275",956,15655,1
"22735",956,28041,1
"20983",957,16937,1
"478",959,5678,1
"889",959,28895,1
"16776",960,9310,1
"3913",963,8426,1
"3795",964,22467,1
"3648",965,25877,1
"3578",966,21651,1
"20830",967,14275,1
"17213",968,3644,1
"1159",971,19422,1
"19822",973,14371,1
"13337",975,15237,1
"20790",978,19474,1
"5833",979,13892,1
"2547",980,12224,1
"14637",981,28219,1
"22422",982,29243,1
"13048",983,10754,1
"6128",984,11080,1
"8958",987,14013,1
"11400",989,12214,1
"22637",991,29792,1
"13276",994,18567,1
"5164",995,779,1
"6786",996,29484,1
"16184",999,26237,1
"15732",1000,19307,1
"19555",1002,779,1
"17233",1003,18523,1
"15156",1004,779,1
"8278",1006,20752,1
"18440",1007,22212,1
"18582",1010,21218,1
"18656",1011,28041,1
"7709",1014,16291,1
"85",1015,9917,1
"16264",1017,29664,1
"2857",1019,1767,1
"24609",1020,23112,1
"16377",1021,284,1
"22580",1022,4305,1
"10425",1023,20820,1
"17829",1024,3843,1
"1724",1025,11922,1
"14111",1026,8500,1
"6530",1027,29903,1
"21945",1027,11642,1
"24435",1028,10958,1
"8795",1029,11922,1
"1184",1030,4596,1
"23748",1031,8665,2
"9530",1037,15770,1
"24266",1038,16523,1
"22682",1039,3325,1
"13895",1040,4400,1
"189",1041,1767,1
"9333",1042,18253,1
"9184",1043,12411,1
"5859",1044,7083,1
"24390",1045,28382,1
"12187",1046,16786,1
"23172",1048,12045,1
"6334",1049,28292,1
"24122",1050,28068,1
"5039",1052,29213,1
"23423",1053,11194,1
"12216",1054,11184,1
"14271",1055,19058,1
"24161",1056,9405,1
"14886",1057,22320,1
"15999",1058,25295,1
"17739",1060,20066,1
"10827",1062,15090,1
"6075",1065,28895,1
"2722",1066,11746,1
"6391",1067,17132,1
"999",1069,779,2
"23081",1070,29713,1
"20794",1071,25080,1
"19803",1072,7635,1
"8017",1073,594,1
"17544",1073,24320,1
"7346",1074,9405,1
"23840",1076,21873,1
"452",1077,6939,1
"19958",1077,16829,1
"583",1078,11922,1
"4714",1079,5678,1
"11331",1080,14470,1
"10868",1083,337,1
"19295",1083,15463,1
"21410",1083,10488,1
"19223",1084,28219,1
"3831",1085,7635,1
"5983",1086,18342,1
"19111",1087,3141,1
"21585",1088,21036,1
"22700",1089,8629,1
"22972",1090,12142,1
"18609",1092,5549,1
"11416",1093,15439,1
"17016",1094,22467,1
"16372",1095,779,1
"2906",1096,12909,1
"17655",1096,15866,1
"11328",1097,11571,1
"23293",1099,1153,1
"14636",1101,24464,1
"2501",1102,8613,1
"24246",1103,7507,1
"7157",1105,10488,1
"16896",1106,30087,1
"19284",1108,19827,1
"15968",1110,22467,1
"18267",1110,9405,1
"1201",1111,20138,1
"24633",1111,28438,1
"18780",1112,15009,1
"5973",1113,21056,1
"15237",1114,30144,1
"20513",1116,11642,1
"6115",1117,14855,1
"12168",1118,9752,1
"9740",1120,18904,1
"10755",1121,24443,1
"12786",1122,11091,1
"15712",1123,4534,1
"13236",1125,26680,1
"16415",1128,12204,1
"5619",1129,11561,1
"10981",1130,19988,1
"16170",1131,5729,1
"13601",1132,9522,1
"11398",1133,284,1
"16230",1134,1870,1
"20700",1135,18240,1
"19140",1137,13722,1
"14167",1138,4623,1
"507",1139,14470,1
"17058",1140,8245,1
"6646",1143,24066,1
"559",1144,28531,1
"16245",1145,16065,1
"17854",1146,20622,1
"18360",1146,1476,1
"20697",1146,15655,1
"9601",1147,208,1
"9776",1148,25487,1
"10765",1148,26735,1
"24680",1148,3822,1
"22441",1149,15174,1
"5111",1152,6261,1
"5139",1153,1099,3
"13619",1153,28895,1
"9907",1155,19375,1
"11002",1156,5088,1
"2660",1158,27041,1
"6468",1159,25812,1
"13235",1160,24443,1
"24752",1161,25295,1
"16950",1163,17799,1
"4",1164,1682,1
"16875",1165,21994,1
"6387",1166,28895,1
"6462",1167,28746,1
"12620",1168,10440,1
"19789",1169,22940,1
"3246",1170,3789,1
"11418",1171,15949,1
"6001",1172,22265,1
"8911",1173,19612,1
"18573",1174,8356,1
"17055",1175,25096,1
"20518",1176,20963,1
"2189",1178,28340,1
"23620",1178,17652,1
"17569",1180,21957,1
"18579",1182,14036,1
"17244",1183,21521,1
"3424",1184,87,2
"13891",1186,1807,1
"4530",1187,16119,1
"21766",1187,14183,1
"22701",1188,27268,1
"11462",1189,2038,1
"9599",1190,26597,1
"1325",1191,27998,1
"3596",1192,15395,1
"5402",1192,1342,1
"7313",1192,27308,1
"18803",1192,19612,1
"10306",1193,9263,1
"17788",1193,22680,1
"20635",1194,10633,1
"4629",1195,15564,1
"23204",1199,2652,1
"1296",1200,5678,1
"1317",1201,10745,1
"15451",1202,779,1
"21910",1203,15169,1
"489",1204,12971,1
"4836",1205,8665,1
"10088",1207,17799,1
"12118",1208,29721,1
"20124",1208,8378,1
"17282",1209,18043,1
"1295",1211,10488,1
"23772",1212,7762,1
"2414",1213,20449,1
"19852",1214,9376,1
"5324",1216,19206,1
"4301",1217,26200,1
"12869",1219,26869,1
"9249",1220,5624,1
"12808",1222,13256,1
"12509",1224,779,2
"13688",1225,8233,1
"4543",1226,28598,1
"11262",1226,7650,1
"6389",1227,23571,1
"11403",1229,18323,1
"22567",1230,337,1
"8808",1233,4741,1
"11597",1234,12624,1
"15651",1236,26200,1
"17218",1237,6000,1
"14740",1238,20122,1
"6073",1239,25774,1
"12594",1240,8495,1
"16212",1241,11516,1
"17748",1242,11240,1
"11369",1243,11369,1
"3241",1244,21472,1
"788",1245,10488,1
"12611",1246,8939,1
"10460",1247,21078,2
"10344",1249,4612,1
"858",1251,14257,1
"16910",1252,6090,1
"9088",1253,28895,1
"11341",1253,17001,1
"6552",1254,779,1
"13482",1256,14036,1
"8538",1259,18620,1
"21263",1260,4919,1
"22338",1260,19177,1
"24429",1262,10319,1
"8733",1263,7123,1
"10481",1264,11498,1
"21740",1265,23415,1
"2754",1266,8404,1
"17300",1266,3721,1
"13577",1267,18663,1
"7354",1269,2706,1
"20904",1270,11682,1
"18779",1272,20998,1
"4442",1273,8686,1
"5584",1274,19286,1
"10118",1276,17799,1
"4602",1278,8245,1
"13849",1280,17068,1
"16054",1282,14322,1
"15267",1283,20412,1
"368",1284,15784,1
"15061",1285,25015,1
"17591",1285,5277,1
"5918",1286,3840,1
"6162",1287,15160,1
"13273",1288,20317,1
"6534",1289,1075,1
"11342",1289,23163,1
"24001",1290,28895,1
"8968",1291,11188,1
"10421",1294,4282,1
"15607",1294,18529,1
"22583",1294,6074,1
"6172",1295,4184,1
"6305",1296,25940,1
"7750",1297,28696,1
"9098",1297,15784,1
"17079",1297,28041,1
"1243",1298,14546,1
"6610",1299,1735,1
"21529",1301,12004,1
"3053",1302,15310,1
"1797",1303,1767,1
"6392",1304,28219,1
"14785",1306,24541,1
"12166",1307,4506,1
"4896",1308,8280,1
"21474",1309,24541,1
"6424",1310,24541,1
"17488",1311,29520,1
"9390",1312,18622,1
"14112",1314,15811,1
"3904",1315,24378,1
"17399",1318,28415,1
"10142",1319,7635,1
"3163",1320,5220,1
"17983",1321,9114,1
"18971",1322,12639,1
"5461",1323,10172,1
"18443",1324,18983,1
"10836",1325,10763,1
"20646",1326,7123,1
"10270",1330,25959,1
"7551",1332,2110,1
"24329",1333,5549,1
"22360",1335,20317,1
"2577",1336,9242,1
"5319",1338,20317,1
"3766",1339,14765,1
"5762",1341,12832,1
"5076",1342,9567,1
"7239",1343,1767,1
"15798",1344,7744,1
"13762",1345,9259,1
"18230",1346,24541,1
"8728",1348,20317,1
"766",1350,11166,1
"11806",1351,18077,1
"11026",1352,27937,1
"13910",1353,1896,1
"21322",1354,9968,1
"13784",1356,20164,1
"13885",1357,26869,1
"21059",1358,16972,1
"21773",1358,28134,1
"2201",1359,17799,1
"6369",1360,22940,1
"5633",1361,24443,1
"2039",1362,1923,1
"21179",1363,6354,1
"5289",1365,25080,1
"8699",1366,26233,1
"10914",1367,19017,1
"6981",1368,17489,1
"17604",1369,27921,1
"8488",1371,11980,1
"9245",1371,284,2
"9252",1371,12179,1
"11761",1371,20214,1
"14972",1371,3097,1
"22671",1371,29713,1
"23192",1371,16004,1
"23752",1371,2706,1
"9670",1373,9441,1
"17821",1374,12939,1
"10728",1376,28895,1
"15309",1377,9626,1
"2970",1378,6106,1
"8116",1379,25172,1
"15818",1380,24541,1
"21460",1381,12413,1
"10769",1382,24824,1
"15355",1383,23055,1
"8216",1384,29243,1
"23874",1388,11896,1
"15788",1389,17799,1
"1990",1390,23777,1
"3740",1392,10488,1
"20277",1393,24246,1
"14741",1396,29126,1
"13696",1397,19041,1
"1261",1398,7839,2
"9520",1401,25187,1
"4238",1402,12747,1
"20015",1403,435,1
"14710",1405,27311,1
"4679",1406,24951,1
"19520",1407,17126,1
"19033",1408,24851,1
"854",1409,13157,1
"1205",1410,20563,2
"19716",1412,12168,1
"18826",1414,7728,1
"4903",1417,18452,1
"4431",1418,25424,1
"1086",1419,23449,1
"3296",1420,21690,1
"4012",1421,22467,1
"16612",1423,2561,1
"14859",1425,24378,1
"14700",1426,14204,1
"458",1427,4799,1
"6873",1428,11148,1
"21386",1429,5589,1
"15447",1430,337,1
"7126",1431,15866,1
"6264",1432,16813,1
"7223",1433,1,1
"1007",1434,18047,1
"11051",1435,20317,1
"7160",1436,20317,1
"16078",1437,10488,1
"1623",1438,779,3
"14512",1439,14786,1
"3678",1440,15784,1
"16215",1441,2506,1
"18069",1443,2711,1
"19398",1444,19885,1
"1022",1445,26836,1
"2442",1447,28041,1
"6416",1448,2383,1
"24484",1450,779,1
"9813",1451,7701,1
"5517",1452,24317,1
"14615",1453,969,1
"23019",1455,14551,1
"763",1457,3453,1
"10879",1458,951,1
"23852",1458,15332,1
"16158",1459,26264,1
"7728",1460,19320,1
"10763",1462,16865,1
"18053",1464,16711,1
"14986",1466,8023,1
"19087",1467,20639,1
"22687",1468,4882,1
"420",1469,11251,1
"20164",1470,13633,1
"17959",1471,27676,1
"7914",1473,25913,1
"21550",1474,28941,1
"15443",1477,14036,1
"7931",1479,20533,1
"3276",1480,13052,1
"7473",1481,27309,1
"23103",1482,16044,1
"10019",1483,24443,1
"18189",1484,8768,1
"5539",1485,7477,1
"19980",1486,14177,1
"4469",1489,26176,1
"10602",1490,14036,1
"17916",1491,17957,1
"13154",1492,26200,1
"5454",1493,28343,1
"545",1494,26200,1
"911",1495,6278,1
"22627",1496,13770,1
"14401",1498,24266,2
"13287",1499,26403,1
"15511",1500,14322,1
"22632",1501,9405,1
"12387",1502,23771,1
"2341",1504,25572,1
"8905",1505,24697,1
"11633",1506,858,1
"17443",1507,18429,1
"154",1508,28504,1
"19808",1509,2756,1
"630",1512,14140,1
"17836",1514,24471,1
"8883",1516,4063,1
"13802",1517,9441,1
"17892",1518,3323,1
"11260",1521,11601,1
"7536",1522,24443,1
