ID	group	IsOpinionLeader	IsKernel
21507094	3	0	0
323888508	7	0	0
96875688	4	0	0
17448440	6	0	0
14894908	3	0	0
1305845418	6	0	0
738633	6	0	0
8889522	3	0	0
983519574	7	0	0
407584050	1	0	0
50018875	1	0	0
632113197	3	0	0
15907943	6	0	0
36183	6	0	0
406634784	7	0	0
9419482	4	0	0
14882065	6	0	0
19092024	6	0	0
20584314	3	0	0
279827939	7	0	0
1264051598	3	0	0
464316467	7	0	0
84849477	3	0	0
25602445	6	0	0
373656682	6	0	0
195992166	5	0	0
310895151	1	0	0
339995442	7	0	0
15523081	6	0	0
201483630	7	0	0
38216080	3	0	0
165503636	3	0	0
22913041	2	0	0
153648441	2	0	0
105899128	3	0	0
233819710	7	0	0
488048054	7	0	0
15383958	1	0	0
42878501	7	0	0
1446309715	5	0	0
991824781	3	0	0
19745636	3	0	0
10877	5	0	0
14680556	2	0	0
229318075	6	0	0
453920936	3	0	0
16669384	4	0	0
23986953	5	0	0
190387355	3	0	0
583375286	1	0	0
266569830	3	0	0
5716352	6	0	0
312169321	6	0	0
2024491	6	0	0
14335967	4	0	0
14231571	4	1	1
95993247	7	0	0
14703894	5	0	0
1043407046	7	0	0
116197245	3	0	0
15027362	6	0	0
26753313	5	0	0
666293	6	0	0
16450870	2	0	0
377781036	5	0	0
16031975	4	0	0
137023801	7	0	0
180683462	6	0	0
68961019	2	0	0
19664443	5	0	0
432938298	1	0	0
2899671	3	0	0
65565806	6	0	0
317295041	3	0	0
18383401	2	0	0
314468797	4	0	0
7284312	2	0	0
17934912	5	0	0
480026074	4	0	0
60333958	2	0	0
14430504	4	0	0
88614100	1	0	0
18722530	6	0	0
158400245	7	0	0
49254976	0	0	0
15403842	6	0	0
1491578720	1	0	0
217259200	7	0	0
69814867	6	0	0
92369660	6	0	0
1693831	5	0	0
540711381	6	0	0
9334052	5	0	0
15348159	1	0	0
14743926	3	0	0
16444535	4	0	0
41628247	6	0	0
15760192	0	0	0
23978155	3	0	1
255199789	3	0	0
91687333	3	0	0
1340618112	6	0	0
277613279	3	0	0
16184358	6	0	0
44957981	5	0	0
722249142	1	0	0
98785047	6	0	0
383272115	5	0	0
316747777	6	0	0
62007617	2	0	0
80721583	1	0	0
18086399	4	0	0
987681	6	0	0
53930095	2	0	0
17855647	3	0	0
1066793484	6	0	0
21116558	3	0	0
63039904	4	0	0
9677102	1	0	0
54754902	2	0	0
17464678	2	0	0
94150809	2	0	0
7213362	2	0	0
367937150	7	0	0
16031160	2	0	0
86763327	7	0	0
14658540	5	0	0
320514870	3	0	0
597981976	7	0	0
11087102	6	0	0
1198151028	5	0	0
135203072	3	0	0
362072815	4	0	0
133063781	6	0	0
151195482	7	0	0
47118255	1	0	0
34623	3	0	0
401063066	3	0	0
65875009	1	0	0
14967638	2	0	0
432660080	1	0	0
2017551	4	0	0
17599215	3	0	0
222006267	3	0	0
176270014	6	0	0
465765630	7	0	0
22348273	6	0	0
13077772	6	0	0
134517532	5	0	0
86433165	3	0	0
271349874	6	0	0
252683663	4	0	0
479719592	0	0	0
47796564	3	0	0
257776736	7	0	0
16439625	6	0	0
161278129	2	0	0
189663	6	0	0
12132212	6	0	0
15398988	6	0	0
57022012	5	0	0
314407214	7	0	0
49794827	4	0	0
9820812	2	0	0
