ID	kmeans	network	red
7494912	0	5	6
7498672	0	5	5
7501852	0	5	3
7525062	5	0	1
7528292	0	6	6
7548842	3	6	1
7551382	0	5	6
7551582	1	5	0
7552082	0	5	6
7563582	0	3	6
7567872	5	5	6
7581562	0	5	6
7595002	5	6	2
7596722	5	5	1
7610582	0	6	3
7628472	6	0	6
7632562	0	5	6
7635182	7	6	3
7638992	5	6	1
7680492	5	3	1
7703962	0	0	6
7714152	7	3	3
7719452	0	5	6
7745472	0	6	6
7754052	5	6	3
7754602	4	3	0
7767262	0	5	6
7805972	5	0	1
7811082	0	3	3
7811672	5	6	2
7812852	0	5	7
7826502	0	6	6
7841892	0	5	6
7882912	5	3	1
7905122	3	6	4
7914212	0	3	0
7916372	5	5	1
7924302	0	5	5
7926002	6	6	7
7935382	0	3	6
7938482	0	5	6
7944212	0	6	6
7973512	0	3	6
7978322	7	3	2
7981252	0	6	3
7994012	5	6	3
8025462	5	0	6
8027032	5	5	5
8053312	5	5	3
8060842	0	6	6
8072642	0	3	6
8076052	5	0	1
8089902	5	6	6
8096232	0	5	6
8108292	5	6	1
8115372	5	6	2
8169682	0	5	6
8192142	5	0	1
8197982	5	5	1
8202882	0	3	4
8204972	5	0	1
8215512	5	3	1
8217092	0	6	6
8243012	0	6	6
8250252	0	0	6
8262182	5	6	2
8276552	0	0	1
8315692	0	6	4
8316992	5	5	3
8358552	5	0	1
8390682	0	6	1
8399452	5	6	1
8413872	0	5	6
8456162	0	6	6
8457602	5	0	1
8482542	5	5	1
8490462	0	6	6
8509142	7	6	3
8543882	0	6	3
8548362	2	6	4
8623592	5	6	1
8645572	6	5	7
8658242	7	6	3
8674112	0	6	3
8676742	0	5	6
8680922	0	6	1
8687112	6	6	7
8688162	0	3	6
8705642	0	6	6
8706722	0	5	0
8719362	5	5	2
8738562	5	6	7
8749312	5	6	3
8756892	5	3	1
8759282	0	6	6
8770522	0	6	3
8822362	0	5	6
8828062	0	6	6
8841372	7	5	3
8889522	0	6	3
8901032	0	3	6
8903102	0	0	6
8943532	0	5	6
8950192	5	6	1
8977892	7	5	3
8983602	0	6	6
8984352	0	0	6
8992502	0	5	6
9008192	7	5	3
9024412	5	0	4
9028172	5	0	1
9047312	0	5	6
9081932	0	6	6
9113802	0	0	1
9147082	5	3	2
9177832	7	5	3
9183382	5	0	1
9210122	7	3	3
9213202	0	5	7
9213742	0	5	6
9244262	0	3	6
9248492	3	6	4
9252632	3	6	7
9257862	5	6	3
9259892	5	6	1
9306182	5	5	5
9329402	5	6	3
9334052	7	5	3
9351452	0	5	6
9358332	3	0	6
9364102	5	2	2
9364292	1	0	1
9365422	5	6	3
9384302	0	6	2
9384692	7	5	3
9388902	0	6	6
9395832	0	6	6
9398042	5	3	6
9401682	0	6	6
9419482	0	0	4
9427242	0	5	6
9439602	0	3	6
9446502	7	6	6
9461192	0	5	6
9487242	7	6	3
9525052	5	0	6
9530332	0	5	3
9531242	0	5	3
9555772	5	0	1
9556182	5	3	1
9559082	0	0	1
9580792	5	6	6
9613162	0	6	3
9633272	5	5	1
9635222	0	6	3
9642782	0	6	3
9645082	0	5	6
9648992	0	5	6
9660102	0	0	0
9661312	0	0	6
9677102	7	3	3
9678462	0	6	6
9688342	0	5	3
9696792	0	6	6
9702992	0	6	6
9706142	5	5	1
9717582	5	5	5
9737512	0	6	6
9747182	0	5	6
9763722	0	3	6
9767742	0	7	6
9771682	0	0	6
9794772	0	5	6
9820812	5	6	1
9828542	7	6	3
9866582	0	3	6
9871212	0	5	6
9875622	5	3	3
9879672	0	5	6
9898752	5	0	6
9899992	0	5	6
9909802	0	6	7
9913612	5	0	1
9916982	5	5	1
9926122	5	0	6
9927062	5	6	3
9932822	5	0	1
9956082	5	6	2
9972552	0	0	6
9982592	0	6	6
9984322	0	5	6
10010742	5	3	1
10031142	0	5	6
10064612	0	5	6
10064832	0	6	6
10069822	6	6	3
10079682	0	0	1
10087062	5	6	3
10089202	5	6	2
10093672	5	6	3
10125612	5	5	1
10138662	5	5	3
10140592	0	0	4
10154752	5	5	1
10163262	0	3	0
10175032	7	5	3
10194392	0	5	6
10209392	7	5	3
10211472	7	3	3
10212922	1	5	6
10217712	0	5	3
10221272	0	6	6
10266432	0	5	6
10291642	0	0	0
10310522	5	5	1
10320552	5	6	6
10364282	5	6	3
10380732	7	6	3
10389852	0	6	6
10397362	5	0	4
10403792	0	6	7
10415892	5	5	3
10420662	0	6	6
10422602	7	6	3
10431162	5	0	1
10446382	5	5	3
10505162	5	6	1
10589972	0	6	6
10603962	0	3	3
10622092	0	5	6
10637792	0	6	3
10640842	5	3	1
10669542	5	3	1
10675922	5	0	4
10685262	6	6	7
10724012	0	7	6
10736612	5	6	3
10746742	0	5	6
10748542	5	0	1
10760422	0	5	6
10774062	5	6	6
10780612	0	7	6
10780742	0	6	6
10801172	6	5	7
10802892	0	0	4
10836092	7	3	6
10840472	0	3	6
10855252	0	5	6
10876852	5	6	6
10888132	5	3	1
10916122	0	5	6
10920012	0	0	6
10928562	0	6	6
10961962	0	3	2
10991592	5	5	1
11004632	0	3	6
11009532	5	0	1
11021302	5	6	2
11059632	5	6	3
11087102	0	5	6
11099982	7	6	5
11132712	0	6	6
11212412	2	5	4
11215482	0	5	7
11216112	5	3	1
11223852	5	5	3
11231232	0	5	6
11262212	5	5	1
11275562	0	6	3
11282612	0	5	6
11292542	0	5	6
11335852	5	5	3
11340512	7	6	3
11364212	0	6	4
11381522	5	6	1
11405762	5	6	1
11406792	7	6	2
11436032	0	6	0
11450572	5	6	3
11460652	5	0	1
11461352	5	0	1
11463762	5	5	6
11469602	0	5	6
11482102	5	0	4
11509422	6	2	6
11526042	5	5	3
11531572	0	6	6
11537152	0	7	1
11543552	5	6	2
11564812	0	5	6
11583892	0	6	3
11589562	0	7	6
11606862	5	6	2
11609622	0	6	2
11618692	5	6	0
11627292	7	5	7
11657062	0	5	6
11658002	0	6	3
11666142	7	6	3
11683632	5	6	3
11735032	0	0	6
11737342	0	6	6
11737472	5	5	1
11743192	0	6	6
11754092	5	6	2
11761312	0	6	6
11789772	6	5	7
11798592	5	6	1
11957562	5	6	2
11964312	5	3	1
11966252	0	6	3
11989152	0	5	6
11999062	5	6	1
12013522	4	3	0
12019742	1	6	1
12026122	5	5	5
12039262	5	6	1
12042372	0	5	6
12042872	0	5	3
12047992	0	5	6
12085772	5	3	1
12089222	2	6	4
12099822	5	5	3
12114162	5	6	1
12128432	5	6	1
12132212	6	5	6
12184532	0	6	6
12197032	2	5	6
12204872	0	5	6
12210372	2	7	6
12232092	0	5	6
12235032	0	5	6
12255632	0	3	3
12266272	5	0	1
12273252	7	6	3
12274542	0	3	3
12278722	0	0	1
12284252	0	6	6
12286332	0	6	3
12290352	0	7	1
12299672	5	6	1
12313592	5	6	3
12332802	0	6	4
12378232	0	5	3
12431822	0	6	6
12448122	0	0	6
12470902	0	6	3
12477192	5	5	3
12477472	0	5	3
12477672	7	5	3
12486322	7	6	5
12507422	0	6	2
12552922	7	5	3
12562482	0	6	4
12568072	2	5	5
12575252	5	6	3
12589972	0	5	6
12594262	0	5	6
12604932	0	5	3
12607352	0	5	6
12609672	0	6	3
12609722	0	6	4
12615582	7	6	1
12622612	5	6	1
12626032	0	5	1
12635662	1	0	1
12724562	5	0	1
12730502	0	5	6
12744742	0	6	3
12766002	0	6	6
12831092	0	0	4
12874852	1	6	0
12894112	0	0	6
12894852	0	6	6
12906562	5	5	1
12914572	5	0	1
12953402	6	5	7
12965632	0	6	1
12984782	5	0	1
13002092	0	5	6
13006932	0	5	0
13009542	5	6	1
13027552	5	5	1
13049362	7	5	3
13061692	5	6	1
13068842	5	5	3
13069762	0	5	6
13077772	0	5	6
13097212	5	5	3
13127832	6	5	6
13128922	6	5	3
13146722	0	6	6
13160172	5	5	3
13160962	0	6	6
13168342	5	3	1
13170182	0	5	3
13201732	6	6	7
13212042	7	6	1
13215032	7	6	3
13285062	0	5	3
13288902	0	5	6
13293012	0	5	6
13300342	7	3	3
13316452	7	5	3
13322132	0	0	6
13323312	0	3	6
13340662	5	0	1
13361372	6	6	7
13402922	0	6	6
13405042	0	3	6
13418072	0	5	6
13465542	7	5	3
13482812	0	5	6
13485092	0	6	3
13491282	6	6	7
13493142	0	6	6
13546742	5	6	2
13558962	6	6	7
13567742	7	6	3
13590412	5	6	7
13594482	5	6	3
13604852	0	3	6
13612712	5	3	1
13625042	3	6	4
13652302	0	6	6
13658182	5	6	6
13662232	0	5	3
13686472	0	6	6
13755702	0	2	6
13774272	5	5	5
13784112	7	6	3
13811562	7	5	1
