source	target	count(*)
410355309	15086405	1
749911052	707843401	1
296522258	83271185	1
45848957	14231571	1
32160290	273684907	1
14478288	636923	1
441436814	277568858	1
107530760	9688342	1
53298959	23978155	1
429705464	145201486	1
1511034536	15086405	1
17530043	784912	1
15060567	755859	1
762386762	229256967	1
22143168	188048136	1
12313592	784912	1
14344677	755859	1
16606794	146525713	1
585037278	16452299	1
14166065	755859	1
81685060	5834352	1
12132212	15661911	1
1028624108	188048136	1
9820812	273684907	1
732889176	14231571	1
19160084	348429830	1
266360972	188048136	1
1160892398	8072642	1
44923393	219535433	1
17692697	83271185	1
2426	6981492	1
8358552	273684907	1
217565608	188048136	1
241588187	275686563	1
723829807	9688342	20
16944165	83271185	1
318393568	636923	1
60935781	33418013	1
14188163	83271185	1
928895239	275686563	2
461959827	277568858	4
284381316	15661911	1
9525052	78453	1
40654760	6312822	1
25985929	2087371	1
61507582	15958614	1
15951166	498742495	1
372312092	83271185	1
383999864	78453	1
289209680	273684907	1
8543882	784912	1
231668911	188048136	1
13904812	273684907	1
105899128	12273252	1
903	784912	1
391977399	188048136	1
217046870	6312822	1
19558701	312846503	1
104360769	188048136	1
14417508	23978155	1
12609722	455274701	1
84403090	273684907	1
35203319	19225408	1
213536326	188048136	1
17804002	23978155	1
408805756	146615750	1
1622441	18865450	1
178082406	470027626	1
790249	13945572	1
64594560	51813392	1
105765996	6312822	1
30040492	585485094	2
310895151	118280725	1
226624013	127978917	1
132115164	188048136	1
28457873	273684907	1
49675047	15936679	1
356881173	9688342	1
140743543	9688342	1
30006068	275686563	1
20427743	755859	2
44516889	168258795	1
16290599	6312822	1
272074463	188048136	1
14546264	722394841	1
33362526	23978155	1
17934912	23978155	1
1163437148	15403842	1
14003912	12273252	1
14527403	23978155	1
19664443	17524072	1
251368744	188048136	1
122665484	70977717	1
158838996	188048136	1
210629704	23978155	1
210632409	14231571	1
18785068	6312822	1
96875688	14231571	1
19287300	14231571	1
230575046	755859	1
527684859	188048136	1
659533	273684907	1
749911052	18657572	1
45973645	188048136	1
86878729	554523661	1
224786268	83271185	1
68953	13945572	1
177260278	273684907	1
91762941	14231571	1
1429584931	69814867	1
81553103	273684907	1
305891516	188048136	1
979061	16318564	1
14626987	755859	1
1160892398	35673	1
762948470	16662889	1
84379745	98523794	1
383999864	83271185	1
241316444	23978155	1
22642033	6187302	1
325354387	199052842	1
219161803	78453	1
175442000	15086405	1
638563	23978155	1
86315276	273684907	1
35089815	83271185	1
7251502	14231571	1
91762941	1197619002	1
267580165	188048136	1
19873956	36183	1
310475146	16662889	1
199052842	188048136	1
344903387	14231571	1
228163660	1197619002	1
15151306	16318564	1
310475146	9688342	2
540270484	5834352	1
736010604	315498416	1
455673282	14231571	1
62231590	14231571	1
446243293	18865450	1
16450870	273684907	1
59977051	37019708	1
14453634	15958614	1
263267483	611823	2
104639821	18865450	1
73221331	273684907	1
722394841	14231571	1
465689262	480026074	1
541691138	188048136	1
247558455	188048136	1
112187977	127978917	1
1063692055	188048136	1
134517532	14231571	1
20904050	6312822	1
297301561	432660080	1
349271329	15086405	1
25327702	972651	1
17248576	36183	1
1162036044	784912	1
37243143	188048136	1
185590430	15830701	1
277613279	987681	1
267361990	9688342	1
583375286	16662889	1
19910730	979811	1
15440049	273684907	1
5532312	36183	1
370136412	6312822	1
722249142	16452299	1
85757587	16662889	1
14445315	16662889	1
94045596	273684907	1
14894908	23978155	1
69568551	22852745	1
313987301	16662889	1
14226811	784912	3
635639811	538699837	1
160331257	636923	1
45228561	14231571	1
13594482	784912	1
9613162	348429830	1
14890530	6312822	1
6214082	17284240	1
14302336	14725574	1
8889522	784912	1
190387355	348429830	1
15576787	83271185	1
36281844	273684907	1
19714244	14155103	1
194429030	972651	1
134517532	6312822	1
17589722	14231571	1
198732594	78173122	1
152614702	19225408	1
128452839	188048136	1
26738929	188048136	1
15427914	15383958	1
161723960	1066793484	1
211856840	188048136	1
207194690	188048136	1
146969405	2242231	1
464284446	18657572	1
17583030	83271185	1
16985330	689183	1
6681532	15416541	1
88099803	9688342	1
444188295	188048136	1
1690351	784912	1
15212851	273684907	1
47118255	972651	1
14148326	784912	1
30027730	111150813	1
1237757929	6312822	1
122665484	140898620	1
14226811	636923	1
932740352	188048136	1
228163660	277568858	1
40654760	273684907	1
1511034536	9688342	1
333056842	188048136	1
14061743	14166065	1
331946329	315498416	2
417848635	78453	1
543567707	1475774791	1
14453698	23978155	1
5735232	979811	1
894351378	1197619002	1
15209240	23978155	1
859688444	611823	1
14979258	17589722	1
150242475	16452299	1
104730935	5834352	1
23085508	784912	1
172280737	188048136	1
604216762	14227194	1
66793711	188048136	1
5777542	273684907	1
14438627	348429830	1
44178251	9688342	1
74857162	16318564	1
72991740	15395727	1
158400245	188048136	1
18316576	83271185	1
22459900	8658242	1
409588638	188048136	1
132595720	15086405	1
100453107	348429830	1
628733579	9688342	1
120829122	972651	1
63778068	10194392	1
18969786	6187302	1
